country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Poland,Europe,1596673,41028.0,1352443.0,203202.0,1274.0,42217,1085.0,9178403.0,242684.0,37820414
Portugal,Europe,788561,15522.0,677719.0,95320.0,752.0,77478,1525.0,7876684.0,773900.0,10177903
Qatar,Asia,158138,256.0,148638.0,9244.0,99.0,56321,91.0,1476247.0,525766.0,2807805
Reunion,Africa,10907,47.0,10049.0,811.0,17.0,12128,52.0,98785.0,109843.0,899333
Romania,Europe,765970,19526.0,711977.0,34467.0,943.0,39985,1019.0,5749521.0,300136.0,19156372
Russia,Europe,4112151,81446.0,3642582.0,388123.0,2300.0,28170,558.0,107500000.0,736433.0,145973980
Rwanda,Africa,17594,240.0,15475.0,1879.0,10.0,1338,18.0,955383.0,72640.0,13152245
Saint Barthelemy,North America,455,1.0,247.0,207.0,,45978,101.0,15063.0,1522130.0,9896
Saint Kitts And Nevis,North America,41,,39.0,2.0,,767,,8533.0,159686.0,53436
Saint Lucia,North America,2576,24.0,2275.0,277.0,2.0,13988,130.0,28287.0,153603.0,184156
Saint Martin,North America,1408,12.0,1050.0,346.0,7.0,36030,307.0,18619.0,476445.0,39079
Saint Pierre And Miquelon,North America,24,,16.0,8.0,,4155,,3729.0,645602.0,5776
Saint Vincent And The Grenadines,North America,1457,6.0,612.0,839.0,2.0,13107,54.0,33826.0,304295.0,111162
Samoa,Australia/Oceania,3,,2.0,1.0,,15,,,,199244
San Marino,Europe,3352,72.0,3009.0,271.0,4.0,98658,2119.0,38434.0,1131210.0,33976
Sao Tome And Principe,Africa,1520,19.0,1125.0,376.0,,6856,86.0,11592.0,52286.0,221704
Saudi Arabia,Asia,373368,6441.0,364297.0,2630.0,480.0,10621,183.0,13107926.0,372877.0,35153496
Senegal,Africa,31476,760.0,25685.0,5031.0,63.0,1850,45.0,362099.0,21277.0,17018560
Serbia,Europe,424020,4261.0,31536.0,388223.0,139.0,48653,489.0,2784210.0,319470.0,8715098
Seychelles,Africa,2058,10.0,1591.0,457.0,,20845,101.0,5200.0,52669.0,98730
Sierra Leone,Africa,3825,79.0,2583.0,1163.0,,473,10.0,116448.0,14415.0,8078316
Singapore,Asia,59821,29.0,59661.0,131.0,1.0,10175,5.0,7024683.0,1194819.0,5879288
Sint Maarten,North America,2013,27.0,1927.0,59.0,1.0,46617,625.0,16994.0,393544.0,43182
Slovakia,Europe,279696,6063.0,255300.0,18333.0,615.0,51214,1110.0,1914132.0,350489.0,5461312
Slovenia,Europe,180520,3733.0,164676.0,12111.0,127.0,86825,1795.0,863759.0,415445.0,2079118
Solomon Islands,Australia/Oceania,18,,14.0,4.0,,26,,4500.0,6453.0,697380
Somalia,Africa,5373,163.0,3750.0,1460.0,,332,10.0,,,16168945
South Africa,Africa,1494119,48313.0,1396951.0,48855.0,546.0,24995,808.0,8737330.0,146163.0,59777893
South Korea,Asia,84946,1538.0,75360.0,8048.0,169.0,1656,30.0,6260567.0,122045.0,51297043
South Sudan,Africa,5710,79.0,3876.0,1755.0,7.0,506,7.0,98839.0,8765.0,11276113
Spain,Europe,3096343,65979.0,2380998.0,649366.0,4053.0,66209,1411.0,37334915.0,798331.0,46766215
Sri Lanka,Asia,77184,409.0,70429.0,6346.0,,3595,19.0,1831420.0,85302.0,21469841
State Of Palestine,Asia,169487,1942.0,157982.0,9563.0,67.0,32749,375.0,1090917.0,210790.0,5175364
Sudan,Africa,27985,1863.0,22523.0,3599.0,,629,42.0,,,44487650
